Index, Height(Inches), Weight(Pounds)
1,65.78331,112.99250000000001
2,71.515209999999996,136.4873
3,69.398740000000004,153.02690000000001
4,68.2166,142.33539999999999
5,67.787809999999993,144.2971
6,68.697839999999999,123.30240000000001
7,69.802040000000005,141.49469999999999
8,70.014719999999997,136.4623
9,67.902649999999994,112.3723
10,66.782359999999997,120.66719999999999
11,66.487690000000001,127.4516
12,67.623329999999996,114.143
13,68.302480000000003,125.61069999999999
14,67.116560000000007,122.4618
15,68.279669999999996,116.0866
16,71.0916,139.9975
17,66.460999999999999,129.50229999999999
18,68.649270000000001,142.97329999999999
19,71.230329999999995,137.9025
20,67.131180000000001,124.0449
21,67.833789999999993,141.2807
22,68.878810000000001,143.53919999999999
23,63.48115,97.901910000000001
24,68.421869999999998,129.5027
25,67.628039999999999,141.8501
26,67.208640000000003,129.7244
27,70.842349999999996,142.42349999999999
28,67.494339999999994,131.55019999999999
29,66.534009999999995,108.33240000000001
30,65.440979999999996,113.8922
31,69.523300000000006,103.30159999999999
32,65.813199999999995,120.75360000000001
33,67.816299999999998,125.7886
34,70.595050000000001,136.2225
35,71.804839999999999,140.10149999999999
36,69.206130000000002,128.74870000000001
37,66.80368,141.79939999999999
38,67.658929999999998,121.2319
39,67.807010000000005,131.34780000000001
40,64.045349999999999,106.7115
41,68.574629999999999,124.35980000000001
42,65.183570000000003,124.8591
43,69.658140000000003,139.6711
44,67.967309999999998,137.36959999999999
45,65.980879999999999,106.4499
46,68.672489999999996,128.76390000000001
47,66.880880000000005,145.68369999999999
48,67.698679999999996,116.819
49,69.821169999999995,143.6215
50,69.088170000000005,134.9325
51,69.914789999999996,147.02189999999999
52,67.331819999999993,126.32850000000001
53,70.269390000000001,125.48390000000001
54,69.103440000000006,115.7084
55,65.383560000000003,123.4892
56,70.184470000000005,147.89259999999999
57,70.406170000000003,155.89869999999999
58,66.543760000000006,128.07419999999999
59,66.364180000000005,119.37009999999999
60,67.537000000000006,133.81479999999999
61,66.504180000000005,128.73249999999999
62,68.999579999999995,137.5453
63,68.303550000000001,129.7604
64,67.012550000000005,128.82400000000001
65,70.80592,135.31649999999999
66,68.21951,109.6113
67,69.059139999999999,142.4684
68,67.731030000000004,132.749
69,67.215680000000006,103.5275
70,67.367630000000005,124.7299
71,65.270330000000001,129.31370000000001
72,70.842780000000005,134.01750000000001
73,69.924419999999998,140.39689999999999
74,64.285079999999994,102.8351
75,68.245199999999997,128.5214
76,66.357079999999996,120.2991
77,68.362750000000005,138.6036
78,65.476900000000001,132.95740000000001
79,69.719470000000001,115.6233
80,67.725539999999995,122.524
81,68.639409999999998,134.62540000000001
82,66.784049999999993,121.8986
83,70.051469999999995,155.3767
84,66.278480000000002,128.9418
85,69.201980000000006,129.10130000000001
86,69.134810000000002,139.47329999999999
87,67.364360000000005,140.89009999999999
88,70.092969999999994,131.5916
89,70.176599999999993,121.1232
90,68.225560000000002,131.5127
91,68.129320000000007,136.5479
92,70.242559999999997,141.4896
93,71.487520000000004,140.6104
94,69.204769999999996,112.1413
95,70.063059999999993,133.45699999999999
96,70.557029999999997,131.80009999999999
97,66.286439999999999,120.02849999999999
98,63.42577,123.0972
99,66.767110000000002,128.14320000000001
100,68.887410000000003,115.4759
101,64.874340000000004,102.09269999999999
102,67.09272,130.35300000000001
103,68.347610000000003,134.1842
104,65.610730000000004,98.641329999999996
105,67.755510000000001,114.5599
106,68.021199999999993,123.49169999999999
107,67.661929999999998,123.048
108,66.314599999999999,126.4772
109,69.437060000000002,128.417
110,63.836239999999997,127.19410000000001
111,67.722769999999997,122.0562
112,70.050979999999996,127.60639999999999
113,70.186019999999999,131.64230000000001
114,65.945880000000002,111.8955
115,70.007000000000005,122.039
116,68.611289999999997,128.5547
117,68.808170000000004,132.67920000000001
118,69.762119999999996,136.06319999999999
119,65.455389999999994,115.94029999999999
120,68.825339999999997,136.9041
121,65.800299999999993,119.88039999999999
122,67.214740000000006,109.0055
123,69.420209999999997,128.2705
124,68.943960000000004,135.29130000000001
125,67.941500000000005,106.8558
126,65.625060000000005,123.29389999999999
127,66.496070000000003,109.51430000000001
128,67.928089999999997,119.3087
129,68.894149999999996,140.24019999999999
130,70.241,133.98410000000001
131,68.266229999999993,132.58070000000001
132,71.231610000000003,130.69880000000001
133,69.097470000000001,115.5637
134,64.396929999999998,123.7941
135,71.095849999999999,128.14269999999999
136,68.218680000000006,135.96459999999999
137,65.917209999999997,116.62730000000001
138,67.436899999999994,126.8241
139,73.901070000000004,151.3913
140,69.981489999999994,130.40219999999999
141,69.518619999999999,136.20679999999999
142,65.184370000000001,113.3989
143,68.008690000000001,125.3287
144,68.338399999999993,127.58459999999999
145,65.184169999999995,107.1564
146,68.262090000000001,116.4588
147,68.568650000000005,133.84020000000001
148,64.496750000000006,112.8901
149,68.710530000000006,130.7568
150,68.891480000000001,137.75710000000001
151,69.540109999999999,125.4036
152,67.399640000000005,138.4659
153,66.475210000000004,120.8184
154,66.012169999999998,140.15389999999999
155,72.444339999999997,136.7397
156,64.126419999999996,106.1139
157,70.981120000000004,158.9562
158,67.501239999999996,108.7868
159,72.015150000000006,138.7758
160,65.311430000000001,115.9136
161,67.075090000000003,146.29220000000001
162,64.391480000000001,109.87649999999999
